sampno,vehno,vehicle_num,num_hh_vehicles,veh_year,veh_make,veh_make_other,veh_make_clean,veh_model,veh_model_other,veh_model_clean,fuel,fuel_clean,veh_type,veh_type_clean,vehicle_status,flag_hev,flag_phev,flag_fcev,flag_bev,obtain,company_car,current_acquired_year,current_acquired_month,annual_mileage,electric_percent,tnc_veh,tnc_miles,delivery,delivery_miles,mpg,replace_intent,current_primary_driver,primary_driver_id,company_acquired_year,fuel_pay,personal_miles,business_miles,company_primary_driver,company_primary_driver_id,other_drivers,behavior_1,behavior_2,behavior_3,behavior_4,behavior_5
192895,192895.v02,2,2,2018,TOYOTA, ,TOYOTA,,,,1,1,10,10, ,0,0,0,0,1, ,2018,8,16000, ,2, ,2, ,18,4,1,192895.p01, , , , , , , , , , , , 
192871,192871.v02,2,3,1999,JAGUAR, ,JAGUAR,,,,1,1,2,2, ,0,0,0,0,3, ,1999, ,5000, ,2, ,2, ,25,6,2,192871.p02, , , , , , , , , , , , 
192884,192884.v03,3,3,1980,PONTIAC, ,PONTIAC,,,,1,1,5,5, ,0,0,0,0,3, ,1980, ,0, ,2, ,2, ,18,6,2,192884.p02, , , , , , , , , , , , 
192874,192874.v01,1,1,2018,HONDA, ,HONDA,,,,1,1,6,6, ,0,0,0,0,2, ,2018,3,9000, ,2, ,2, ,28,3,2,192874.p02, , , , , , , , , , , , 
192876,192876.v01,1,2,1980,FORD, ,FORD,,,,1,1,5,5, ,0,0,0,0,3, ,1980, ,300, ,2, ,2, ,15,6,1,192876.p01, , , , , , , , , , , , 
192911,192911.v02,2,3,2014,NISSAN, ,NISSAN,,,,1,1,3,3, ,0,0,0,0,3, ,2016, ,10000, ,2, ,2, ,30,3,1,192911.p01, , , , , , , , , , , , 
192882,192882.v01,1,3,2018,FORD, ,FORD,,,,1,1,5,5, ,0,0,0,0,1, ,2017, ,5000, ,2, ,2, ,30,3,1,192882.p01, , , , , , , , , , , , 
192880,192880.v01,1,1,2019,FORD, ,FORD,,,,1,1,1,1, ,0,0,0,0,1, ,2019,2,120, ,1,12,1,12,12,1,1,192880.p01, , , , , , , , , , , , 
192894,192894.v01,1,4,2012,CHEVROLET, ,CHEVROLET,,,,8,8,13,13, ,0,0,0,0,1, ,2012, ,14000, ,2, ,2, ,15,2,1,192894.p01, , , , , , , , , , , , 
192888,192888.v02,2,2,2012,PORSCHE, ,PORSCHE,,,,1,1,5,5, ,0,0,0,0,1, ,2011, ,500, ,2, ,2, ,20,6,1,192888.p01, , , , , , , , , , , , 
192896,192896.v01,1,3,2016,FORD, ,FORD,,,,8,8,13,13, ,0,0,0,0,1, ,2016, ,10000, ,2, ,2, ,18,4,2,192896.p02, , , , , , , , , , , , 
192910,192910.v03,3,3,2017,TOYOTA, ,TOYOTA,,,,1,1,2,2, ,0,0,0,0,1, ,2017, ,25000, ,2, ,2, ,35,4,3,192910.p03, , , , , , , , , , , , 
192889,192889.v01,1,2,2017,TOYOTA, ,TOYOTA,,,,1,1,2,2, ,0,0,0,0,1, ,2017, ,30000, ,2, ,2, ,30,6,1,192889.p01, , , , , , , , , , , , 
192901,192901.v01,1,1,2013,CHRYSLER, ,CHRYSLER,,,,1,1,3,3, ,0,0,0,0,1, ,2013, ,28000, ,2, ,2, ,23,4,1,192901.p01, , , , , , , , , , , , 
192907,192907.v01,1,2,2016,CADILLAC, ,CADILLAC,,,,1,1,6,6, ,0,0,0,0,1, ,2016, ,25000, ,2, ,2, ,27,3,2,192907.p02, , , , , , , , , , , , 
192908,192908.v01,1,1,2005,HONDA, ,HONDA,,,,1,1,2,2, ,0,0,0,0,1, ,2005, ,220000, ,2, ,2, ,30,1,1,192908.p01, , , , , , , , , , , , 
192917,192917.v02,2,2,2014,TOYOTA, ,TOYOTA,,,,2,2,3,3, ,1,0,0,0,1, ,2014, ,10000, ,2, ,2, ,40,2,1,192917.p01, , , , , , , , , , , , 
192920,192920.v01,1,2,2016,LEXUS, ,LEXUS,,,,1,1,3,3, ,0,0,0,0,1, ,2015, ,7000, ,2, ,2, ,20,5,1,192920.p01, , , , , , , , , , , , 
192924,192924.v01,1,1,1997,FORD, ,FORD,,,,1,1,12,12, ,0,0,0,0,3, ,2017, ,3000, ,2, ,2, ,18,3,1,192924.p01, , , , , , , , , , , , 
192928,192928.v01,1,1,2015,HONDA, ,HONDA,,,,1,1,2,2, ,0,0,0,0,1, ,2015, ,8000, ,2, ,2, ,37,2,1,192928.p01, , , , , , , , , , , , 
192922,192922.v03,3,3,2001,HONDA, ,HONDA,,,,1,1,6,6, ,0,0,0,0,3, ,2004, ,1000, ,2, ,2, ,26,5,2,192922.p02, , , , , , , , , , , , 
192927,192927.v03,3,5,2014,AUDI, ,AUDI,,,,1,1,3,3, ,0,0,0,0,1, ,2014, ,10000, ,2, ,2, ,28,1,2,192927.p02, , , , , , , , , , , , 
192926,192926.v01,1,2,2001,CHEVROLET, ,CHEVROLET,,,,1,1,13,13, ,0,0,0,0,3, ,2009, ,10000, ,2, ,2, ,15,3,1,192926.p01, , , , , , , , , , , , 
192931,192931.v01,1,2,2014,MAZDA, ,MAZDA,,,,1,1,2,2, ,0,0,0,0,1, ,2014, ,8000, ,2, ,2, ,27,2,1,192931.p01, , , , , , , , , , , , 
192932,192932.v01,1,2,2007,HONDA, ,HONDA,,,,1,1,10,10, ,0,0,0,0,1, ,2007, ,1500, ,2, ,2, ,18,6,1,192932.p01, , , , , , , , , , , , 
192930,192930.v01,1,1,2017,TOYOTA, ,TOYOTA,,,,1,1,6,6, ,0,0,0,0,1, ,2016, ,12000, ,2, ,2, ,25,5,1,192930.p01, , , , , , , , , , , , 
192943,192943.v01,1,1,2013,HONDA, ,HONDA,,,,1,1,2,2, ,0,0,0,0,1, ,2013, ,10000, ,2, ,2, ,25,3,1,192943.p01, , , , , , , , , , , , 
192944,192944.v01,1,2,2018,HONDA, ,HONDA,,,,1,1,3,3, ,0,0,0,0,1, ,2018,5,5000, ,2, ,2, ,35,4,1,192944.p01, , , , , , , , , , , , 
192946,192946.v01,1,2,2012,CHEVROLET, ,CHEVROLET,,,,1,1,13,13, ,0,0,0,0,1, ,2012, ,12000, ,2, ,2, ,25,4,1,192946.p01, , , , , , , , , , , , 
192949,192949.v02,2,2,2004,HONDA, ,HONDA,,,,1,1,6,6, ,0,0,0,0,1, ,2004, ,500, ,2, ,2, ,16,2,1,192949.p01, , , , , , , , , , , , 
192947,192947.v01,1,1,2002,TOYOTA, ,TOYOTA,,,,1,1,3,3, ,0,0,0,0,3, ,2011, ,8000, ,2, ,2, ,21,1,1,192947.p01, , , , , , , , , , , , 
192953,192953.v01,1,1,2015,LEXUS, ,LEXUS,,,,1,1,8,8, ,0,0,0,0,1, ,2015, ,4000, ,2, ,2, ,21,4,1,192953.p01, , , , , , , , , , , , 
193003,193003.v02,2,4,1997,TOYOTA, ,TOYOTA,,,,1,1,3,3, ,0,0,0,0,3, ,2004, ,9000, ,2, ,2, ,28,6,1,193003.p01, , , , , , , , , , , , 
192959,192959.v01,1,1,2010,SUZUKI, ,SUZUKI,,,,1,1,2,2, ,0,0,0,0,3, ,2010, ,7000, ,2, ,2, ,23,2,1,192959.p01, , , , , , , , , , , , 
192975,192975.v01,1,4,2016,NISSAN, ,NISSAN,,,,1,1,3,3, ,0,0,0,0,3, ,2018,3,5000, ,2, ,2, ,30,3,1,192975.p01, , , , , , , , , , , , 
192975,192975.v04,4,4,1998,FORD, ,FORD,,,,1,1,13,13, ,0,0,0,0,1, ,1998, ,100, ,2, ,2, ,20,6,2,192975.p02, , , , , , , , , , , , 
192961,192961.v01,1,2,2019,CHEVROLET, ,CHEVROLET,,,,1,1,5,5, ,0,0,0,0,1, ,2019,5,2000, ,2, ,2, ,20,5,1,192961.p01, , , , , , , , , , , , 
192969,192969.v02,2,3,2005,HONDA, ,HONDA,,,,1,1,2,2, ,0,0,0,0,6, ,2014, ,18000, ,2, ,2, ,30,1,2,192969.p02, , , , , , , , , , , , 
192963,192963.v01,1,2,2013,DODGE, ,DODGE,,,,1,1,2,2, ,0,0,0,0,1, ,2013, ,20000, ,2, ,2, ,31,4,2,192963.p02, , , , , , , , , , , , 
192960,192960.v02,2,2,2018,AUDI, ,AUDI,,,,1,1,5,5, ,0,0,0,0,2, ,2018,9,8000, ,2, ,2, ,15,2,1,192960.p01, , , , , , , , , , , , 
192973,192973.v01,1,1,2016,HYUNDAI, ,HYUNDAI,,,,1,1,3,3, ,0,0,0,0,1, ,2015, ,7500, ,2, ,2, ,29,3,1,192973.p01, , , , , , , , , , , , 
192971,192971.v02,2,2,2012,LEXUS, ,LEXUS,,,,1,1,1,1, ,0,0,0,0,3, ,2014, ,8000, ,2, ,2, ,20,4,2,192971.p02, , , , , , , , , , , , 
